fips,county_name,pcp_rate_per_100k,pcp_ratio,mental_health_provider_rate_per_100k,mental_health_provider_ratio,dentist_rate_per_100k,dentist_ratio,uninsured_pct,preventable_hospitalization_rate,child_poverty_pct,life_expectancy_years,median_household_income,rural_pct,population,hpsa_active_count,hpsa_max_score,hpsa_underserved_population,heart_disease_pct,asthma_pct,depression_pct,diabetes_pct,fair_or_poor_health_pct,frequent_mental_distress_pct,high_blood_pressure_pct,no_physical_activity_pct,obesity_pct,annual_checkup_pct,heart_disease_pct_source_type,asthma_pct_source_type,depression_pct_source_type,diabetes_pct_source_type,fair_or_poor_health_pct_source_type,frequent_mental_distress_pct_source_type,high_blood_pressure_pct_source_type,no_physical_activity_pct_source_type,obesity_pct_source_type,annual_checkup_pct_source_type
48197,Hardeman,112.61260999999999,888:1,114.61318,873:1,113.76564,879:1,19.85428051,5555.0,25.4,73.774936118,50431,100.0,3490,0,,0.0,6.1,10.5,24.7,11.9,23.4,19.8,33.6,29.3,38.0,72.0,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48199,Hardin,17.55217,5697:1,54.925250000000005,1821:1,27.67639,3613:1,16.560148005,3050.0,15.1,73.695978231,73943,50.721132471,58261,1,12.0,34237.0,5.6,10.6,25.7,10.4,20.0,19.8,32.5,25.7,33.7,72.4,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48201,Harris,58.24836,1717:1,177.63760000000002,563:1,74.44185,1343:1,22.188504654,3104.0,22.4,77.349626032,72348,1.1337213296,4835125,15,22.0,0.0,5.5,9.2,19.5,13.2,21.8,16.4,32.9,26.9,37.1,73.3,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48203,Harrison,30.36876,3293:1,55.01093,1818:1,24.30134,4115:1,17.421367584,2895.0,23.2,74.484254871,62710,54.904923081,70895,2,21.0,17022.0,5.9,10.8,24.3,11.9,22.4,19.6,35.0,28.7,39.2,73.9,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48205,Hartley,,,19.43635,5145:1,,,16.661943893,,8.3,77.944851572,88312,46.209587514,5145,1,13.0,3824.0,5.5,9.1,21.1,10.8,20.3,16.9,32.2,25.9,34.3,71.2,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48207,Haskell,92.40436,1082:1,129.99070999999998,769:1,37.01647,2702:1,23.587950511,3047.0,29.2,74.134885884,49755,100.0,5385,2,19.0,5117.0,6.3,10.1,23.8,12.3,24.7,19.1,34.1,30.6,36.9,71.6,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48209,Hays,44.244839999999996,2260:1,134.76608,742:1,39.00084,2564:1,13.810197072,2327.0,9.1,79.403998653,88491,29.743598253,280486,0,,0.0,5.1,9.3,21.5,10.8,18.9,16.5,30.5,23.9,35.3,72.4,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48211,Hemphill,122.28676000000002,818:1,94.07338,1063:1,0.0,3217:0,20.811017598,3793.0,13.4,80.580763795,72565,100.0,3189,1,15.0,0.0,4.8,9.5,22.5,9.7,18.3,17.1,29.3,24.3,33.2,71.9,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48213,Henderson,35.85643,2789:1,67.31818,1485:1,34.31506,2914:1,22.351047197,4126.0,23.6,71.973596294,58965,65.944004869,86158,2,17.0,12792.0,6.0,10.6,25.7,11.3,22.4,19.9,34.0,28.3,35.6,73.0,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48215,Hidalgo,46.34489,2158:1,91.15486,1097:1,31.06824,3219:1,30.244383253,3145.0,37.3,77.305451055,53160,8.9052241608,898471,7,20.0,7213243.0,6.6,8.7,20.0,17.7,34.1,18.0,34.1,38.0,45.0,71.9,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48217,Hill,24.677139999999998,4052:1,41.99365,2381:1,34.82547,2871:1,19.598934135,4238.0,19.3,72.584912319,61840,77.5101745,38101,2,16.0,10195.0,5.9,10.3,24.5,11.5,22.4,19.3,33.3,29.0,37.0,72.3,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
48219,Hockley,60.85287999999999,1643:1,83.87698,1192:1,37.8054,2645:1,22.481147587,2745.0,19.8,71.045797991,60851,41.491386916,21460,2,19.0,10344.0,5.9,9.7,22.4,12.9,24.9,18.3,32.9,31.6,36.4,71.7,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv,AgeAdjPrv
